designation;reference;url_product;Fournisseur
Pomme Gala calibre 136/165 barquette 2 kg catégorie 1 CE2 origine France Fruits et Légumes de ma Région;250086;/produits/pomme-gala-calibre-136165-barquette-2-kg-categorie-1-ce2-origine-france-fruits-et-legumes-ma-region-0250086;Pomona TerreAzur
Pomme Golden calibre 136/200 barquette 2 kg catégorie 1 CE2 origine France Fruits et Légumes de ma Région;250087;/produits/pomme-golden-calibre-136200-barquette-2-kg-categorie-1-ce2-origine-france-fruits-et-legumes-ma-region-0250087;Pomona TerreAzur
Poire Harrow Sweet prêt à déguster calibre 55/60 catégorie 2 BIO origine France Fruits et Légumes de ma Région;249450;/produits/poire-harrow-sweet-pret-deguster-calibre-5560-categorie-2-bio-origine-france-fruits-et-legumes-ma-region-0249450;Pomona TerreAzur
Pomme Chanteclerc Belchard calibre 201/240 catégorie 1 origine France CE2 100% Experts terroirs;249585;/produits/pomme-chanteclerc-belchard-calibre-201240-categorie-1-origine-france-ce2-100-experts-terroirs-0249585;Pomona TerreAzur
Pomme Fuji calibre 136/165 barquette 2 kg catégorie 1 CE2 origine France Fruits et Légumes de ma Région;250117;/produits/pomme-fuji-calibre-136165-barquette-2-kg-categorie-1-ce2-origine-france-fruits-et-legumes-ma-region-0250117;Pomona TerreAzur
Pomme Golden calibre 230/270 catégorie 1 origine France HVE 100% Experts terroirs;250923;/produits/pomme-golden-calibre-230270-categorie-1-origine-france-hve-100-experts-terroirs-0250923;Pomona TerreAzur
Baby kiwi barquette 125 g BIO origine France Fruits et Légumes de ma Région Nergi;249418;/produits/baby-kiwi-barquette-125-g-bio-origine-france-fruits-et-legumes-ma-region-nergi-0249418;Pomona TerreAzur
Pomme Leratess calibre 201/240 catégorie 1 CE2 origine France Fruits et Légumes de ma Région;250258;/produits/pomme-leratess-calibre-201240-categorie-1-ce2-origine-france-fruits-et-legumes-ma-region-0250258;Pomona TerreAzur
Figue fraiche noire de Solliès ~2 kg catégorie 1 AOP origine France Fruits et Légumes de ma Région;251357;/produits/figue-fraiche-noire-sollies-2-kg-categorie-1-aop-origine-france-fruits-et-legumes-ma-region-0251357;Pomona TerreAzur
Pomme Reine des Reinettes calibre 190/220 catégorie 1 origine France HVE 100% Experts terroirs;250942;/produits/pomme-reine-reinettes-calibre-190220-categorie-1-origine-france-hve-100-experts-terroirs-0250942;Pomona TerreAzur
Pomme Crimson calibre 115/135 catégorie 2 BIO origine France Fruits et Légumes de ma Région;251368;/produits/pomme-crimson-calibre-115135-categorie-2-bio-origine-france-fruits-et-legumes-ma-region-0251368;Pomona TerreAzur
Pomme Granny Smith calibre 190/220 catégorie 1 origine France HVE 100% Experts Terroirs;250929;/produits/pomme-granny-smith-calibre-190220-categorie-1-origine-france-hve-100-experts-terroirs-0250929;Pomona TerreAzur
Pomme Gala calibre 190/220 catégorie 1 origine France HVE 100% Experts terroirs;250938;/produits/pomme-gala-calibre-190220-categorie-1-origine-france-hve-100-experts-terroirs-0250938;Pomona TerreAzur
Poire Conférence calibre 55/60 catégorie 1 HVE origine France Fruits et Légumes de ma Région;251381;/produits/poire-conference-calibre-5560-categorie-1-hve-origine-france-fruits-et-legumes-ma-region-0251381;Pomona TerreAzur
Pomme RUBINETTE® Rafzubin calibre 150/180 catégorie 1 origine France HVE;251766;/produits/pomme-rubinetter-rafzubin-calibre-150180-categorie-1-origine-france-hve-0251766;Pomona TerreAzur
Pomme Gala calibre 136/165 barquette 4 pièces catégorie 2 BIO origine France Fruits et Légumes de ma Région;249771;/produits/pomme-gala-calibre-136165-barquette-4-pieces-categorie-2-bio-origine-france-fruits-et-legumes-ma-region-0249771;Pomona TerreAzur
Pomme Reine des Reinettes calibre 150/180 catégorie 1 CE2 origine France Fruits et Légumes de ma Région;251424;/produits/pomme-reine-reinettes-calibre-150180-categorie-1-ce2-origine-france-fruits-et-legumes-ma-region-0251424;Pomona TerreAzur
Poire Conférence calibre 60+ catégorie 2 conversion BIO origine France Fruits et Légumes de ma Région;251765;/produits/poire-conference-calibre-60-categorie-2-conversion-bio-origine-france-fruits-et-legumes-ma-region-0251765;Pomona TerreAzur
Pomme Golden calibre 115/135 sachet 2 kg catégorie 1 CE2 origine France Fruits et Légumes de ma Région;252023;/produits/pomme-golden-calibre-115135-sachet-2-kg-categorie-1-ce2-origine-france-fruits-et-legumes-ma-region-0252023;Pomona TerreAzur
Pomme Fuji calibre 170/200 catégorie 1 CE2 origine France Fruits et Légumes de ma Région;249839;/produits/pomme-fuji-calibre-170200-categorie-1-ce2-origine-france-fruits-et-legumes-ma-region-0249839;Pomona TerreAzur
Pêche blanche calibre B 61/67 4 kg catégorie 1 origine Australie CE2;250007;/produits/peche-blanche-calibre-b-6167-4-kg-categorie-1-origine-australie-ce2-0250007;Pomona TerreAzur
Pomme Golden Delicious Industrie ~13 kg catégorie 2 origine France CE2;250182;/produits/pomme-golden-delicious-industrie-13-kg-categorie-2-origine-france-ce2-0250182;Pomona TerreAzur
Orange Val Late calibre 4 catégorie 1 origine Espagne BIO;249847;/produits/orange-val-late-calibre-4-categorie-1-origine-espagne-bio-0249847;Pomona TerreAzur
Pomme JOYA® - Cripps Red calibre 190/220 catégorie 1 origine France CE2;249831;/produits/pomme-joyar-cripps-red-calibre-190220-categorie-1-origine-france-ce2-0249831;Pomona TerreAzur
Mini Pomme Gala calibre 70+ catégorie 2 CE2 origine France Fruits et Légumes de ma Région;251996;/produits/mini-pomme-gala-calibre-70-categorie-2-ce2-origine-france-fruits-et-legumes-ma-region-0251996;Pomona TerreAzur
Pomme Golden calibre 95/130 catégorie 2 BIO origine France Fruits et Légumes de ma Région;252113;/produits/pomme-golden-calibre-95130-categorie-2-bio-origine-france-fruits-et-legumes-ma-region-0252113;Pomona TerreAzur
Pomme Gala calibre 115/135 sachet 2 kg catégorie 1 CE2 origine France Fruits et Légumes de ma Région;252022;/produits/pomme-gala-calibre-115135-sachet-2-kg-categorie-1-ce2-origine-france-fruits-et-legumes-ma-region-0252022;Pomona TerreAzur
Pomme Ariane calibre 95/130 vrac catégorie 1 origine France CE2;251901;/produits/pomme-ariane-calibre-95130-vrac-categorie-1-origine-france-ce2-0251901;Pomona TerreAzur
Pomme Dalirene calibre 136/165 barquette 4 pièces catégorie 2 BIO origine France Fruits et Légumes de ma Région;252302;/produits/pomme-dalirene-calibre-136165-barquette-4-pieces-categorie-2-bio-origine-france-fruits-et-legumes-ma-region-0252302;Pomona TerreAzur
Clémentine Corse à feuille calibre 6 colis ~10 kg catégorie 1 origine France IGP;250082;/produits/clementine-corse-feuille-calibre-6-colis-10-kg-categorie-1-origine-france-igp-0250082;Pomona TerreAzur
Banane calibre P14 22 mains 5 fruits catégorie 2 origine Equateur BIO;250351;/produits/banane-calibre-p14-22-mains-5-fruits-categorie-2-origine-equateur-bio-0250351;Pomona TerreAzur
Pomme Jonagold calibre 95/130 catégorie 2 BIO origine France Fruits et Légumes de ma Région;252111;/produits/pomme-jonagold-calibre-95130-categorie-2-bio-origine-france-fruits-et-legumes-ma-region-0252111;Pomona TerreAzur
Pomme Golden-Gala calibre 136/165 barquette 2 kg catégorie 1 CE2 origine France Fruits et Légumes de ma Région;250548;/produits/pomme-golden-gala-calibre-136165-barquette-2-kg-categorie-1-ce2-origine-france-fruits-et-legumes-ma-region-0250548;Pomona TerreAzur
Kiwi calibre 95/105 g barquette 6 fruits catégorie 1 origine France Label Rouge;249984;/produits/kiwi-calibre-95105-g-barquette-6-fruits-categorie-1-origine-france-label-rouge-0249984;Pomona TerreAzur
Pomme Golden calibre 95/115 catégorie 1 origine France HVE;251956;/produits/pomme-golden-calibre-95115-categorie-1-origine-france-hve-0251956;Pomona TerreAzur
Poire Doyenné du Comice calibre 60/65 catégorie 2 BIO origine France Fruits et Légumes de ma Région;253485;/produits/poire-doyenne-comice-calibre-6065-categorie-2-bio-origine-france-fruits-et-legumes-ma-region-0253485;Pomona TerreAzur
Pomme Jonagored calibre 95/130 sachet 2 kg catégorie 1 CE2 origine France Fruits et Légumes de ma Région;258535;/produits/pomme-jonagored-calibre-95130-sachet-2-kg-categorie-1-ce2-origine-france-fruits-et-legumes-ma-region-0258535;Pomona TerreAzur
Pomme Primrouge calibre 115/135 catégorie 1 origine France CE2;252166;/produits/pomme-primrouge-calibre-115135-categorie-1-origine-france-ce2-0252166;Pomona TerreAzur
Poire Conférence calibre 55/60 catégorie 2 BIO origine France Fruits et Légumes de ma Région;262497;/produits/poire-conference-calibre-5560-categorie-2-bio-origine-france-fruits-et-legumes-ma-region-0262497;Pomona TerreAzur
